Season,Competition Group,Competition,Week Date,Home Team,Away Team,Home Team Score,Away Team Score,Home Team Badge,Away Team Badge,Fixture Location,Time of Match
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-20,Tulse Hill & Dulwich W1,Wapping W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Alleyns School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-22,Wimbledon W3,Surbiton Sparks,1,6,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,KCS - Pavilion - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Wapping W1,London Wayfarers W2,0,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Lee Valley Hockey and Tennis Centre - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Hampstead & Westminster W3,Wimbledon W3,2,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Southgate W2,Wanderers W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Barnes W2,Tulse Hill & Dulwich W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Surbiton Sparks,West Herts W1,10,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Surbiton HC - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-27,Old Cranleighan W1,PHC Chiswick W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-01-31,Barnes W2,Hampstead & Westminster W3,5,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,Wimbledon W3,PHC Chiswick W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,Surbiton Sparks,Old Cranleighan W1,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Surbiton HC - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,West Herts W1,Wapping W1,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,Wanderers W1,Hampstead & Westminster W3,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Kennington Park,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,Tulse Hill & Dulwich W1,Southgate W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Alleyns School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-03,London Wayfarers W2,Barnes W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,Hampstead & Westminster W3,Tulse Hill & Dulwich W1,2,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Mill Hill School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,Barnes W2,West Herts W1,5,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,Southgate W2,London Wayfarers W2,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,PHC Chiswick W1,Wanderers W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Latymer Upper School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,Wapping W1,Surbiton Sparks,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-10,Old Cranleighan W1,Wimbledon W3,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-17,Wimbledon W3,Southgate W2,0,9,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,Wapping W1,Old Cranleighan W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Lee Valley Hockey and Tennis Centre - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,Wanderers W1,Wimbledon W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Kennington Park,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,Surbiton Sparks,Barnes W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Surbiton HC - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,West Herts W1,Southgate W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,Tulse Hill & Dulwich W1,PHC Chiswick W1,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Alleyns School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-02-24,London Wayfarers W2,Hampstead & Westminster W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,Wimbledon W3,Tulse Hill & Dulwich W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,Southgate W2,Surbiton Sparks,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,Barnes W2,Wapping W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,Hampstead & Westminster W3,West Herts W1,4,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Mill Hill School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,Old Cranleighan W1,Wanderers W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-02,PHC Chiswick W1,London Wayfarers W2,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Latymer Upper School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,West Herts W1,PHC Chiswick W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,Surbiton Sparks,Hampstead & Westminster W3,4,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Surbiton HC - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,Wapping W1,Southgate W2,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,Barnes W2,Old Cranleighan W1,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,Tulse Hill & Dulwich W1,Wanderers W1,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Alleyns School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-09,London Wayfarers W2,Wimbledon W3,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,Wimbledon W3,West Herts W1,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,Hampstead & Westminster W3,Wapping W1,0,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,Wanderers W1,London Wayfarers W2,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Kennington Park,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,Southgate W2,Barnes W2,3,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,Old Cranleighan W1,Tulse Hill & Dulwich W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-16,PHC Chiswick W1,Surbiton Sparks,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Latymer Upper School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,London Wayfarers W2,Tulse Hill & Dulwich W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,Hampstead & Westminster W3,Barnes W2,2,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,West Herts W1,Wanderers W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,Surbiton Sparks,Wimbledon W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Surbiton HC - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,Wapping W1,PHC Chiswick W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-03-23,Southgate W2,Old Cranleighan W1,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Southgate Hockey Centre Pitch 1,Completed
