Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Old Cranleighan Sports Club,Completed,Away,Surbiton Sparks,Old Cranleighan W1,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Kings House Sports Ground,Completed,Home,London Wayfarers W2,Barnes W2,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Kings House Sports Ground,Completed,Away,Barnes W2,London Wayfarers W2,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,Old Cranleighan W1,3.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Alleyns School,Completed,Away,Old Cranleighan W1,Tulse Hill & Dulwich W1,1.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,Wimbledon W3,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Southgate Hockey Centre Pitch 1,Completed,Away,Wimbledon W3,Southgate W2,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Battersea Park - Far Pitch,Completed,Home,Wanderers W1,Surbiton W3,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Battersea Park - Far Pitch,Completed,Away,Surbiton W3,Wanderers W1,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,PHC Chiswick W1,7.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Whitefields School - Pitch 1,Completed,Away,PHC Chiswick W1,West Hampstead W1,1.0,7.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Surbiton HC - Pitch 1,Completed,Home,Surbiton Sparks,Hampstead & Westminster W3,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Surbiton HC - Pitch 1,Completed,Away,Hampstead & Westminster W3,Surbiton Sparks,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Raynes Park High School,Completed,Home,Wimbledon W3,Wanderers W1,4.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Raynes Park High School,Completed,Away,Wanderers W1,Wimbledon W3,2.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Surbiton HC - Pitch 2,Completed,Home,Surbiton Sparks,Tulse Hill & Dulwich W1,2.0,2.0,Draw
